Adoption,Other,Return to Owner,Transfer
0.0554730497073469,0.06254913951253603,0.6219970297894645,0.2599807809906526
0.08927433628318585,0.05706194690265487,0.5951150442477876,0.2585486725663717
0.13669964744683272,0.054133970203571025,0.5247355851245309,0.28443079722506537
0.28509999594336943,0.04356821224291104,0.3964950711938664,0.27483672061985315
0.3325807572073637,0.03945814518930184,0.3537339353942341,0.2742271622091004
0.35571608040201,0.03715452261306533,0.33187814070351757,0.275251256281407
0.3685613829475535,0.03586287723410489,0.3198945209493115,0.2756812188690302
0.3761080390140884,0.03473476533192542,0.3151137910912274,0.2740434045627588
0.378610024222098,0.03420373180015438,0.313290212675344,0.2738960313024036
0.38054598735283535,0.033802889311603516,0.31201480643668705,0.2736363168988741
0.3819600780429236,0.0339936965330932,0.3093201260693381,0.27472609935464504
0.3845417270249699,0.03398070171131135,0.30639102359498144,0.27508654766873725
0.3871350122166582,0.03406149454483876,0.3030215061567119,0.27578198708179114
0.3895840298008501,0.03409904962032571,0.29984717512775205,0.27646974545107217
0.3916576125466484,0.03408285700788889,0.2970853606689026,0.27717416977656006
0.39372968928997265,0.03418044093236387,0.2945783555046408,0.2775115142730227
0.39537687510143515,0.03412858500846259,0.2924810461153231,0.2780134937747792
0.3968586146628645,0.03424247999264097,0.2905206512740318,0.2783782540704627
0.39872146118721463,0.03426940639269407,0.2886986301369863,0.278310502283105
0.40007716049382713,0.034291031227305736,0.28717320261437906,0.278458605664488
0.40167873823867867,0.03427423903968952,0.28565626480741896,0.27839075791421286
0.4033592716345615,0.03435516785145651,0.2839683358374633,0.27831722467651876
0.4045898568178777,0.03432356483340024,0.28255051518801017,0.2785360631607119
0.4056783874977801,0.034385544308293374,0.28132214526727045,0.278613922926656
0.40702762430939227,0.03434254143646409,0.2801988950276243,0.27843093922651935
0.4080015844721727,0.03430822385070751,0.2791311810919654,0.27855901058515437
0.40938465245678984,0.03419571074941401,0.27794694297794037,0.27847269381585577
0.41049739418652825,0.034213567674829366,0.27673957129462046,0.2785494668440219
0.41145301743794654,0.03411583313427002,0.2757063128406697,0.2787248365871137
0.4124675885911841,0.034053586862575626,0.27448141745894555,0.2789974070872947
